阿姨	阿姨	āyí	/maternal aunt/
哎	哎	āi	/hey!/
唉	唉	āi	/interjection or grunt of agreement or recognition (e.g. yes, it's me!)/
愛情	愛情	àiqíng	/romance/
愛惜	愛惜	àixí	/to cherish/
愛心	愛心	àixīn	/compassion/
安定	安定	āndìng	/stable/
安排	安排	ānpái	/to arrange/
安心	安心	ānxīn	/at ease/
按	按	àn	/to press/
按照	按照	ànzhào	/according to/
巴士	巴士	bāshì	/bus (loanword)/
把握	把握	bǎwò	/to grasp (also fig.)/
白菜	白菜	báicài	/Chinese cabbage/
白天	白天	báitian	/daytime/
擺	擺	bǎi	/to arrange/
百貨公司	百貨公司	bǎihuògōngsī	/department store/
班機	班機	bānjī	/airliner/
搬家	搬家	bānjiā	/to move house/
辦理	辦理	bànlǐ	/to handle/
半天	半天	bàntiān	/half of the day/
半夜	半夜	bànyè	/midnight/
幫助	幫助	bāngzhù	/assistance/
榜樣	榜樣	bǎngyàng	/example/
包含	包含	bāohán	/to contain/
寶貝	寶貝	bǎobèi	/treasured object/
寶貴	寶貴	bǎoguì	/valuable/
保護	保護	bǎohù	/to protect/
保守	保守	bǎoshǒu	/conservative/
保養	保養	bǎoyǎng	/to take good care of (or conserve) one's health/
保證	保證	bǎozhèng	/guarantee/
抱	抱	bào	/to hold/
抱怨	抱怨	bàoyuàn	/to complain/
報名	報名	bàomíng	/to sign up/
背包	背包	bēibāo	/knapsack/
北方	北方	běifāng	/north/
被動	被動	bèidòng	/passive/
背後	背後	bèihòu	/behind/
背景	背景	bèijǐng	/background/
輩子	輩子	bèizi	/all one's life/
本人	本人	běnrén	/the person himself/
本子	本子	běnzi	/book/
笨	笨	bèn	/stupid/
逼	逼	bī	/to compel/
比如	比如	bǐrú	/for example/
畢竟	畢竟	bìjìng	/after all/
避免	避免	bìmiǎn	/to avert/
必要	必要	bìyào	/necessary/
鞭炮	鞭炮	biānpào	/firecrackers/
變成	變成	biànchéng	/to change into/
變更	變更	biàngēng	/to change/
變化	變化	biànhuà	/change/
便條	便條	biàntiáo	/(informal) note/
標準	標準	biāozhǔn	/(an official) standard/
表達	表達	biǎodá	/to express/
表面	表面	biǎomiàn	/surface/
表示	表示	biǎoshì	/to express/
表現	表現	biǎoxiàn	/to show/
別的	別的	biéde	/else/
冰塊	冰塊	bīngkuài	/ice cube/
伯伯	伯伯	bóbo	/father's elder brother/
博士	博士	bóshì	/doctor/
播	播	bò	/to sow/
不必	不必	bùbì	/need not/
不斷	不斷	bùduàn	/unceasing/
不過	不過	bùguò	/only/
不見	不見	bùjiàn	/not to see/
不論	不論	bùlùn	/whatever/
不幸	不幸	bùxìng	/misfortune/
不用說	不用說	bùyòngshuō	//
不得不	不得不	bùdébù	/have no choice or option but to/
不得了	不得了	bùdéliǎo	/desperately serious/
不管	不管	bùguǎn	/not to be concerned/
不滿	不滿	bùmǎn	/resentful/
不如	不如	bùrú	/not equal to/
不少	不少	bùshǎo	/many/
不足	不足	bùzú	/insufficient/
部分	部分	bùfen	/part/
部門	部門	bùmén	/department/
布	布	bù	/to announce/
擦	擦	cā	/to wipe/
猜	猜	cāi	/to guess/
材料	材料	cáiliào	/material/
採用	採用	cǎiyòng	/to adopt/
餐桌	餐桌	cānzhuō	/dining table/
參考	參考	cānkǎo	/consultation/
草地	草地	cǎodì	/lawn/
草原	草原	cǎoyuán	/grassland/
層	層	céng	/layer/
曾	曾	céng	/once/
曾經	曾經	céngjīng	/once/
差別	差別	chābié	/difference/
差異	差異	chāyì	/difference/
差點兒	差點兒	chàdiǎnr	/erhua variant of 差點|差点[cha4 dian3]/
產品	產品	chǎnpǐn	/goods/
產生	產生	chǎnshēng	/to arise/
嘗	嘗	chángshì	/to taste/
超過	超過	chāoguò	/to surpass/
超級	超級	chāojí	/super-/
炒	炒	chǎo	/to sauté/
吵架	吵架	chǎojià	/to quarrel/
車禍	車禍	chēhuò	/traffic accident/
趁	趁	chèn	/old variant of 趁[chen4]/
成果	成果	chéngguǒ	/result/
成就	成就	chéngjiù	/accomplishment/
成熟	成熟	chéngshóu	/mature/
成長	成長	chéngzhǎng	/to mature/
程度	程度	chéngdù	/degree (level or extent)/
承認	承認	chéngrèn	/to admit/
誠實	誠實	chéngshí	/honest/
吃喝玩樂	吃喝玩樂	chīhēwánlè	/to eat, drink and be merry (idiom)/
充實	充實	chōngshí	/rich/
重新	重新	chóngxīn	/again/
蟲	蟲	chóng	/lower form of animal life, including insects, insect larvae, worms and similar creatures/
抽	抽	chōu	/to draw out/
醜	醜	chǒu	/shameful/
臭	臭	chòu	/stench/
初	初	chū	/at first/
出版	出版	chūbǎn	/to publish/
出差	出差	chūchāi	/to go on an official or business trip/
出門	出門	chūmén	/to go out/
出租	出租	chūzū	/to rent/
除了	除了	chúle	/besides/
除夕	除夕	chúxì	/lunar New Year's Eve/
廚師	廚師	chúshī	/cook/
處理	處理	chǔlǐ	/to handle/
傳統	傳統	chuántǒng	/tradition/
串	串	chuàn	/to string together/
創造	創造	chuàngzào	/to create/
吹	吹	chuī	/to blow/
春節	春節	chūnjié	/Spring Festival (Chinese New Year)/
詞	詞	cí	/word/
此	此	cǐ	/this/
刺激	刺激	cìjī	/to provoke/
從不	從不	cóngbù	/never/
從來	從來	cónglái	/always/
從小	從小	cóngxiǎo	/from childhood/
醋	醋	cù	/vinegar/
存	存	cún	/to exist/
存在	存在	cúnzài	/to exist/
寸	寸	cùn	/a unit of length/
錯誤	錯誤	cuòwù	/error/
挫折	挫折	cuòzhé	/setback/
答應	答應	dāyìng	/to answer/
達成	達成	dáchéng	/to reach (an agreement)/
打工	打工	dǎgōng	/to work a temporary or casual job/
打架	打架	dǎjià	/to fight/
打聽	打聽	dǎtīng	/to ask about/
打仗	打仗	dǎzhàng	/to fight a battle/
打折	打折	dǎzhé	/to give a discount/
大大	大大	dàdà	/greatly/
大多數	大多數	dàduōshù	/(great) majority/
大方	大方	dàfāng	/expert/
大概	大概	dàgài	/roughly/
大會	大會	dàhuì	/general assembly/
大陸	大陸	dàlù	/mainland China (reference to the PRC)/
大門	大門	dàmén	/entrance/
大小	大小	dàxiǎo	/dimension/
大約	大約	dàyuē	/approximately/
代表	代表	dàibiǎo	/representative/
代替	代替	dàitì	/to replace/
帶來	帶來	dàilái	/to bring/
帶領	帶領	dàilǐng	/to guide/
單純	單純	dānchún	/simple/
單身	單身	dānshēn	/unmarried/
擔任	擔任	dānrèn	/to hold a governmental office or post/
淡	淡	dàn	/insipid/
當場	當場	dāngchǎng	/at the scene/
當地	當地	dāngdì	/local/
當面	當面	dāngmiàn	/to sb's face/
當年	當年	dāngnián	/in those days/
當天	當天	dàngtiān	/on that day/
當中	當中	dāngzhōng	/among/
當作	當作	dàngzuò	/to treat as/
當做	當做	dàngzuò	/to treat as/
倒	倒	dǎo	/to fall/
島	島	dǎo	/island/
導演	導演	dǎoyǎn	/to direct/
到處	到處	dàochù	/everywhere/
到底	到底	dàodǐ	/finally/
道德	道德	dàodé	/virtue/
道教	道教	dàojiào	/Taoism/
道理	道理	dàolǐ	/reason/
道歉	道歉	dàoqiàn	/to apologize/
倒是	倒是	dàoshì	/contrary to what one might expect/
得到	得到	dédào	/to get/
得意	得意	déyì	/proud of oneself/
得很	得很	dehěn	/(after an adjective) very/
的話	的話	dehuà	/if (coming after a conditional clause)/
燈光	燈光	dēngguāng	/(stage) lighting/
等待	等待	děngdài	/to wait/
低	低	dī	/low/
敵人	敵人	dírén	/enemy/
底下	底下	dǐxia	/the location below sth/
抵達	抵達	dǐdá	/to arrive/
地板	地板	dìbǎn	/floor/
地帶	地帶	dìdài	/zone/
地點	地點	dìdiǎn	/place/
地理	地理	dìlǐ	/geography/
地區	地區	dìqū	/local/
地攤	地攤	dìtān	/street stall with goods laid out on the ground/
地位	地位	dìwèi	/position/
地下	地下	dìxià	/underground/
地形	地形	dìxíng	/topography/
電車	電車	diànchē	/trolleybus/
電池	電池	diànchí	/battery/
電燈	電燈	diàndēng	/electric light/
店員	店員	diànyuán	/shop assistant/
調查	調查	diàochá	/investigation/
訂	訂	dìng	/to agree/
東北	東北	dōngběi	/Northeast China/
東方	東方	dōngfāng	/the East/
東南	東南	dōngnán	/southeast/
懂事	懂事	dǒngshì	/sensible/
逗	逗	dòu	/to stay/
豆腐	豆腐	dòufu	/tofu/
豆漿	豆漿	dòujiāng	/soy milk/
都市	都市	dūshì	/city/
毒品	毒品	dúpǐn	/drugs/
獨特	獨特	dútè	/unique/
讀者	讀者	dúzhě	/reader/
段	段	duàn	/paragraph/
堆	堆	duī	/to pile up/
對方	對方	duìfāng	/counterpart/
對話	對話	duìhuà	/dialogue/
對了	對了	duìle	/Correct!/
對象	對象	duìxiàng	/target/
多多少少	多多少少	duōduoshǎoshǎo	/to some extent/
多麼	多麼	duōme	/how (wonderful etc)/
頓	頓	dùn	/to stop/
嗯	嗯	en	/(a groaning sound)/
兒童	兒童	értóng	/child/
發表	發表	fābiǎo	/to issue/
發財	發財	fācái	/to get rich/
發出	發出	fāchū	/to issue (an order, decree etc)/
發達	發達	fādá	/developed (country etc)/
發揮	發揮	fāhuī	/to display/
發覺	發覺	fājué	/to become aware/
發明	發明	fāmíng	/to invent/
發脾氣	發脾氣	fāpíqi	/to get angry/
發票	發票	fāpiào	/invoice/
法律	法律	fǎlǜ	/law/
翻	翻	fān	/variant of 翻[fan1]/
翻譯	翻譯	fānyì	/to translate/
煩惱	煩惱	fánnǎo	/to be worried/
反而	反而	fǎnér	/instead/
反應	反應	fǎnyìng	/to react/
犯	犯	fàn	/to violate/
範圍	範圍	fànwéi	/range/
方面	方面	fāngmiàn	/respect/
方式	方式	fāngshì	/way/
房東	房東	fángdōng	/landlord/
房客	房客	fángkè	/tenant/
房屋	房屋	fángwū	/house/
訪問	訪問	fǎngwèn	/to visit/
放心	放心	fàngxīn	/to feel relieved/
費用	費用	fèiyòng	/cost/
分開	分開	fēnkāi	/to separate/
份	份	fèn	/classifier for gifts, newspaper, magazine, papers, reports, contracts etc/
豐富	豐富	fēngfù	/to enrich/
風格	風格	fēnggé	/style/
風俗	風俗	fēngsú	/social custom/
佛教	佛教	fójiào	/Buddhism/
否則	否則	fǒuzé	/if not/
夫婦	夫婦	fūfù	/a (married) couple/
符合	符合	fúhé	/in keeping with/
福利	福利	fúlì	/material benefit/
服裝	服裝	fúzhuāng	/dress/
腐敗	腐敗	fǔbài	/corruption/
付出	付出	fùchū	/to pay/
負擔	負擔	fùdān	/burden/
負責	負責	fùzé	/to be in charge of/
複習	複習	fùxí	/variant of 復習|复习[fu4 xi2]/
改	改	gǎi	/to change/
改變	改變	gǎibiàn	/to change/
改進	改進	gǎijìn	/to improve/
改善	改善	gǎishàn	/to make better/
改天	改天	gǎitiān	/another day/
蓋	蓋	gài	/lid/
概念	概念	gàiniàn	/concept/
趕	趕	gǎn	/to overtake/
趕快	趕快	gǎnkuài	/at once/
趕上	趕上	gǎnshàng	/to keep up with/
感動	感動	gǎndòng	/to move (sb)/
感想	感想	gǎnxiǎng	/impressions/
感興趣	感興趣	gǎnxìngqù	/to be interested/
高速	高速	gāosù	/high speed/
高中	高中	gāozhōng	/senior high school/
搞	搞	gǎo	/to do/
