"Simplified","Traditional","Pinyin","Level","Meaning"
"我们","我們","wo3men","1","we"
"你们","你們","ni3men","1","you (plural)"
"他们","他們","ta1men","1","they"
"谁","誰","shei2","1","who"
"中国","中國","zhong1guo2","1","China"
"美国","美國","mei3guo2","1","United States"
"台湾","台灣","tai2wan1","1","variant of 臺灣|台湾[Tai2 wan1]"
"电话","電話","dian4hua4","1","telephone"
"现在","現在","xian4zai4","1","now"
"两","兩","liang3","1","two"
"时候","時候","shi2hou4","1","time"
"妈妈","媽媽","ma1ma","1","mama"
"点","點","dian3","1","point"
"个","個","ge","1","individual"
"岁","歲","sui4","1","classifier for years (of age)"
"来","來","lai2","1","to come"
"觉得","覺得","jue2de","1","to think"
"喜欢","喜歡","xi3huan1","1","to like"
"打电话","打電話","da3dian4hua4","1","to make a telephone call"
"高兴","高興","gao1xing4","1","happy"
"电脑","電腦","dian4nao3","1","computer"
"老师","老師","lao3shi1","1","teacher"
"买","買","mai3","1","to buy"
"学生","學生","xue2sheng1","1","student"
"大学","大學","da4xue2","1","the Great Learning, one of the Four Books 四書|四书[Si4 shu1] in Confucianism"
"学校","學校","xue2xiao4","1","school"
"笔","筆","bi3","1","pen"
"问","問","wen4","1","to ask"
"说","說","shuo1","1","to persuade"
"写","寫","xie3","1","to write"
"听","聽","ting1","1","to listen"
"练习","練習","lian4xi2","1","to practice"
"上课","上課","shang4ke4","1","to go to class"
"电视","電視","dian4shi4","1","television"
"书","書","shu1","1","book"
"电影","電影","dian4ying3","1","movie"
"以后","以後","yi3hou4","1","after"
"什么","什麼","shen2me","1","what?"
"东西","東西","dong1xi","1","east and west"
"吗","嗎","ma","1","(question particle for ""yes-no"" questions)"
"再见","再見","zai4jian4","1","goodbye"
"怎么样","怎麼樣","zen3meyang4","1","how?"
"谢谢","謝謝","xie4xie","1","to thank"
"对不起","對不起","dui4buqi3","1","unworthy"
"请问","請問","qing3wen4","1","Excuse me, may I ask...?"
"这","這","zhe4","1","this"
"公共汽车","公共汽車","gong1gong4qi4che1","1","bus"
"开车","開車","kai1che1","1","to drive a car"
"钱","錢","qian2","1","coin"
"给","給","gei3","1","to"
"贵","貴","gui4","1","expensive"
"难","難","nan2","1","difficult (to...)"
"几","幾","ji3","1","almost"
"块","塊","kuai4","1","lump (of earth)"
"饭","飯","fan4","1","food"
"没","沒","mei2","1","(negative prefix for verbs)"
"还是","還是","hai2shi4","1","or"
"过","過","guo4","1","to cross"
"女儿","女兒","nü3er2","2","daughter"
"儿子","兒子","er2zi","2","son"
"手机","手機","shou3ji1","2","cell phone"
"号码","號碼","hao4ma3","2","number"
"周末","週末","zhou1mo4","2","weekend"
"从","從","cong2","2","from"
"爱","愛","ai4","2","to love"
"快乐","快樂","kuai4le4","2","happy"
